Neighborhood,LATITUDE,LONGITUDE
16th Street Heights ,38.95159558,-77.03213592
American University ,38.94926429,-77.08886672
Anacostia ,38.86657727,-76.98354102
Anacostia Park ,38.87639419,-76.98196399
Barry Farms ,38.85866802,-76.99329316
Berkley ,38.91868776,-77.09077413
Bolling Air Force Base ,38.83656145,-77.01947253
Brentwood ,38.91714107,-76.98689389
Brightwood ,38.96823643,-77.02424742
Brookland ,38.93530325,-76.99472524
Burleith ,38.91528738,-77.07412876
Capitol Hill ,38.88673525,-76.99837421
Central-tri 1 ,38.90570313,-77.04450522
Central-tri 3 ,38.89950575,-77.02619933
Chevy Chase ,38.96457334,-77.06890921
Chillum ,38.96042019,-77.01222898
Cleveland Park ,38.93549917,-77.06883797
Colonial Village ,38.98911426,-77.04106174
Columbia Heights ,38.93127928,-77.02742561
Congress Heights ,38.83421351,-77.0001773
Crestwood ,38.94345821,-77.04058376
DC Stadium Area ,38.88739995,-76.97089413
DC Village ,38.81821234,-77.01548983
Deanwood ,38.89592742,-76.93068892
Eckington ,38.91472221,-77.00725916
Foggy Bottom ,38.89953687,-77.04990895
Forest Hills ,38.94770662,-77.0600731
Fort Dupont Park ,38.87868723,-76.94456877
Fort Lincoln ,38.92567952,-76.9604755
Foxhall ,38.91038201,-77.08196464
Ft. McNair ,38.86892108,-77.01752989
Garfield ,38.92709981,-77.05471021
Georgetown ,38.90847936,-77.06338791
Glover - Archbold Parkway ,38.91410729,-77.07868811
Glover Park ,38.92058285,-77.07574484
Hawthorne ,38.98120628,-77.05590775
Hillcrest ,38.86791484,-76.96056272
Kalorama ,38.91780096,-77.04747631
Kent ,38.93002008,-77.1023729
Ledroit Park ,38.9179277,-77.0141576
Lily Ponds ,38.90105329,-76.94934938
Mall/East Potomac Park ,38.88813678,-77.02581445
Marshall Heights ,38.88456449,-76.92867608
Massachusetts Avenue Heights ,38.92471451,-77.06159694
Michigan Park ,38.94180819,-76.9785398
Mt. Pleasant ,38.92893005,-77.04101314
National Arboretum ,38.91225485,-76.97180569
National Zoological Park ,38.92918982,-77.047422
NoMa ,38.90704463,-77.00713693
North Cleveland Park ,38.94462953,-77.07214783
Observatory Circle ,38.92530395,-77.07188636
Old City 1 ,38.89199537,-76.99023703
Old City 2 ,38.91187234,-77.02726739
Palisades ,38.9204204,-77.09853761
Petworth ,38.94923367,-77.01993237
Randle Heights ,38.85337822,-76.97624089
Riggs Park ,38.9558728,-76.99518361
Rock Creek Park ,38.95159426,-77.04911589
Shepherd Heights ,38.9828114,-77.03195155
Southwest Waterfront ,38.87861273,-77.01697269
Spring Valley ,38.94075645,-77.09758089
St. Elizabeth's Hospital ,38.8525112,-76.99460944
Takoma Park ,38.9682355,-77.00933865
Trinidad ,38.90408679,-76.98173634
Wakefield ,38.95048086,-77.07158885
Washington Navy Yard ,38.8741535,-76.99900611
Wesley Heights ,38.93197509,-77.08669681
Woodley ,38.92752183,-77.06149106
Woodridge ,38.92856455,-76.97152875